ubigeo,departamento,distrito,promedio_semanal,mediana_semanal,maximo_semanal,desviacion_semanal,pct_semanas_alta,crecimiento_promedio,frecuencia_semanas_con_casos,semana_pico,cluster,pca_1,pca_2
140102,LAMBAYEQUE,CHONGOYAPE,0.8654781199351702,0.0,75,5.586774537323184,0.08752025931928688,0.03593236165963092,0.08833063209076175,14.0,1,-0.6268951734997039,-0.3375316970743604
140103,LAMBAYEQUE,ETEN,3.455621301775148,0.0,54,9.081458175984173,0.31952662721893493,0.12665562250440882,0.3254437869822485,21.0,0,0.2566832556847024,0.2836938566285182
140104,LAMBAYEQUE,ETEN PUERTO,0.6666666666666666,0.0,9,1.5030832509409646,0.0,0.24874213836477985,0.2962962962962963,37.0,1,-0.4763970670673211,0.5256566233836648
140105,LAMBAYEQUE,JOSE LEONARDO ORTIZ,3.063048683160415,0.0,290,19.94329589612368,0.16679968076616122,0.06826201108163313,0.16759776536312848,20.0,0,0.7568437895912766,-0.9468649543158323
140106,LAMBAYEQUE,LA VICTORIA,2.384430176565008,0.0,193,14.786898726676592,0.1260032102728732,0.04527460150902693,0.12680577849117175,22.0,1,0.19950339945838821,-0.7247129587240577
140107,LAMBAYEQUE,LAGUNAS,0.4393063583815029,0.0,11,1.4929752983236724,0.15028901734104047,0.051279147583495416,0.1531791907514451,11.0,1,-0.8125137305501787,0.09909628521120518
140108,LAMBAYEQUE,MONSEFU,0.32281553398058255,0.0,30,2.106047042201531,0.049352750809061485,0.014029157234913233,0.05016181229773463,19.0,1,-0.9884173848405021,-0.2611860262313752
140109,LAMBAYEQUE,NUEVA ARICA,0.10816125860373647,0.0,10,0.7341255184552481,0.038348082595870206,0.014881946574859964,0.03933136676499508,16.0,1,-1.1270562718778414,-0.2137343202801957
140110,LAMBAYEQUE,OYOTUN,0.3124491456468674,0.0,70,2.8865192025429147,0.05695687550854353,0.02433762800532358,0.05777054515866558,21.0,1,-0.8549068717079394,-0.342237221295531
140111,LAMBAYEQUE,PICSI,0.5842696629213483,0.0,40,3.4852377653043654,0.06741573033707865,0.01900171355037176,0.06843718079673136,13.0,1,-0.8511453911390566,-0.26625030176910364
140112,LAMBAYEQUE,PIMENTEL,0.26995884773662554,0.0,22,1.6459086319246092,0.05761316872427984,0.024573789129790222,0.05843621399176955,21.0,1,-1.00958718952533,-0.20738184877393612
140113,LAMBAYEQUE,REQUE,1.4248704663212435,0.0,52,6.0104229941588345,0.14766839378238342,0.05401714079418203,0.15025906735751296,20.0,1,-0.46613717283655276,-0.12418569273976682
140114,LAMBAYEQUE,SANTA ROSA,0.7368421052631579,0.0,8,1.4633093446797731,0.3092105263157895,0.09028434773467887,0.3157894736842105,12.0,1,-0.42901548380470395,0.5856464483729769
